Number,Time,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
753930,01-07-19 12:40,8,53,64,34,47,37,59,70,61,18,29,15,13,57,30,54,68,50,75,62
753931,01-07-19 12:45,20,24,53,54,47,62,52,61,68,40,16,23,41,1,64,80,6,15,9,73
753932,01-07-19 12:50,36,16,5,31,45,44,46,12,17,57,41,68,18,4,64,14,76,60,54,73
753933,01-07-19 12:55,42,9,18,25,64,62,16,10,46,63,78,54,53,32,19,50,14,56,6,55
753934,01-07-19 13:00,76,67,40,75,21,5,68,25,18,39,20,44,57,41,80,71,29,66,78,11
753935,01-07-19 13:05,23,40,46,45,5,63,54,49,44,9,55,78,24,30,15,36,75,43,31,71
753936,01-07-19 13:10,61,18,14,43,72,51,67,3,59,6,12,44,37,77,28,42,57,79,54,45
753937,01-07-19 13:15,48,34,58,32,13,59,46,53,1,33,76,23,38,43,10,5,79,65,2,45
753938,01-07-19 13:20,27,74,61,50,35,28,32,11,64,73,17,10,21,46,14,58,18,78,34,68
753939,01-07-19 13:25,53,45,51,49,26,64,68,58,66,23,3,2,50,1,28,15,76,44,75,29
753940,01-07-19 13:30,57,62,39,50,34,31,65,43,18,37,16,55,25,60,23,7,1,32,26,13
753941,01-07-19 13:35,34,12,8,22,74,19,28,17,49,36,35,15,54,62,7,37,25,18,6,45
753942,01-07-19 13:40,16,46,12,15,7,61,36,53,31,58,25,45,51,68,5,3,72,40,62,76
753943,01-07-19 13:45,69,37,54,43,56,65,44,32,49,26,29,67,17,27,10,4,13,35,68,52
753944,01-07-19 13:50,10,61,32,36,65,53,5,66,44,19,56,4,72,7,6,21,55,47,2,30
753945,01-07-19 13:55,18,76,10,1,26,46,58,68,62,22,80,56,63,37,55,32,6,41,29,20
753946,01-07-19 14:00,60,26,16,3,32,39,10,47,15,78,52,28,48,29,13,22,17,43,35,80
753947,01-07-19 14:05,76,64,65,3,25,60,41,52,36,74,39,54,43,75,17,55,18,48,73,80
753948,01-07-19 14:10,65,42,1,13,50,5,55,70,35,80,22,43,6,12,39,38,18,41,76,60
753949,01-07-19 14:15,10,3,16,19,67,14,65,77,56,22,55,31,51,44,5,62,28,75,11,68
753950,01-07-19 14:20,71,4,18,55,1,14,76,57,16,3,35,34,13,75,70,28,20,68,50,44
753951,01-07-19 14:25,55,8,15,64,57,32,23,26,24,1,61,67,36,41,58,39,6,35,68,59
753952,01-07-19 14:30,19,10,23,44,42,24,40,80,20,72,3,22,62,18,36,70,7,48,11,69
753953,01-07-19 14:35,77,35,76,9,46,17,42,49,10,54,18,52,23,66,6,67,73,40,51,33
753954,01-07-19 14:40,20,58,60,79,15,61,31,64,19,6,73,65,23,11,38,24,27,76,45,78
753955,01-07-19 14:45,61,70,26,67,19,44,54,42,1,68,28,51,63,55,29,47,78,79,12,4
753956,01-07-19 14:50,22,74,73,20,32,49,7,21,58,64,53,55,10,26,44,36,35,27,54,14
753957,01-07-19 14:55,27,32,43,47,75,21,71,6,36,41,63,58,25,22,45,54,77,51,39,33
753958,01-07-19 15:00,48,72,40,25,44,56,12,51,70,29,32,38,21,3,53,24,11,74,49,64
753959,01-07-19 15:05,2,80,60,30,5,48,66,46,8,69,20,23,36,21,61,43,17,67,52,64
753960,01-07-19 15:10,42,1,72,68,3,16,28,23,12,60,78,80,79,57,41,31,33,27,9,52
753961,01-07-19 15:15,38,70,76,29,20,79,9,11,48,68,59,77,51,39,2,36,26,66,35,42
753962,01-07-19 15:20,49,45,9,4,52,66,24,8,67,65,48,78,50,17,12,10,30,51,11,19
753963,01-07-19 15:25,44,60,33,48,26,19,52,29,30,35,13,64,40,59,41,11,57,53,34,16
753964,01-07-19 15:30,6,55,57,23,24,64,15,37,59,19,35,45,11,77,67,4,13,28,39,2
753965,01-07-19 15:35,26,20,4,76,55,15,53,45,79,71,40,69,33,11,30,19,28,23,63,65
753966,01-07-19 15:40,13,57,3,4,73,25,23,41,72,7,24,19,21,44,59,11,50,18,28,31
753967,01-07-19 15:45,70,53,76,73,60,27,51,31,36,78,48,35,43,12,33,8,7,42,25,47
753968,01-07-19 15:50,29,64,78,45,7,6,20,33,43,10,79,67,21,4,58,13,70,51,60,25
753969,01-07-19 15:55,2,19,17,78,9,52,38,14,31,73,67,45,3,39,28,53,11,37,58,1
753970,01-07-19 16:00,34,25,78,36,5,28,27,3,75,66,20,39,41,68,17,10,30,8,45,23
753971,01-07-19 16:05,26,17,10,72,27,73,7,62,67,54,18,59,55,71,5,49,44,47,80,6
753972,01-07-19 16:10,39,77,43,19,80,26,53,6,28,31,24,34,79,8,27,74,22,40,76,45
753973,01-07-19 16:15,66,19,52,57,75,16,1,55,17,59,26,50,8,14,47,31,33,80,69,64
753974,01-07-19 16:20,77,30,20,43,34,70,9,56,48,12,57,28,59,61,69,46,21,76,1,67
753975,01-07-19 16:25,8,20,7,76,49,23,14,62,18,53,29,59,69,51,33,6,40,19,36,12
753976,01-07-19 16:30,61,20,11,60,32,62,37,39,76,55,41,57,34,78,53,46,56,72,13,2
753977,01-07-19 16:35,68,71,52,53,77,33,19,36,29,44,62,58,10,55,3,11,47,30,54,20
753978,01-07-19 16:40,46,9,47,10,56,16,33,15,3,5,61,77,34,74,37,49,28,27,80,13
753979,01-07-19 16:45,29,2,14,12,57,38,11,18,67,59,50,43,13,65,27,1,32,36,3,20
753980,01-07-19 16:50,79,40,25,10,73,20,24,18,37,26,5,6,32,16,61,66,45,52,44,36
753981,01-07-19 16:55,53,46,7,55,6,64,44,33,25,65,20,69,61,48,19,3,8,40,9,58
753982,01-07-19 17:00,49,79,21,40,54,23,27,3,73,70,51,33,64,29,77,53,31,80,66,10
753983,01-07-19 17:05,29,1,64,27,31,78,42,23,11,26,55,54,66,13,70,5,73,43,56,77
753984,01-07-19 17:10,55,51,32,36,13,17,16,62,73,29,41,37,5,33,27,19,76,49,40,35
753985,01-07-19 17:15,18,39,51,68,19,14,74,43,63,47,21,80,35,4,28,1,34,41,27,15
753986,01-07-19 17:20,8,37,30,15,19,34,33,12,78,6,14,51,3,54,65,10,69,24,35,43
753987,01-07-19 17:25,60,28,19,17,72,21,69,4,79,68,73,31,51,58,50,80,5,47,18,37
753988,01-07-19 17:30,53,57,46,11,52,58,56,66,40,8,20,9,22,78,37,43,30,73,7,18
753989,01-07-19 17:35,5,57,60,33,3,79,15,61,37,80,28,7,26,77,56,20,12,32,67,46
753990,01-07-19 17:40,12,21,13,77,8,59,4,14,48,22,68,65,46,15,76,70,1,60,73,51
753991,01-07-19 17:45,38,24,32,64,14,10,80,27,12,52,58,25,55,72,65,59,54,77,57,15
753992,01-07-19 17:50,31,8,42,13,70,52,36,72,76,46,67,23,55,2,64,4,78,73,37,75
753993,01-07-19 17:55,21,74,68,72,78,66,53,40,33,55,16,19,13,35,20,24,32,69,60,11
753994,01-07-19 18:00,71,29,41,52,48,25,79,4,63,37,22,66,62,70,35,50,8,18,23,7
753995,01-07-19 18:05,53,40,26,10,17,15,52,71,1,16,62,29,8,30,33,43,47,25,58,78
753996,01-07-19 18:10,7,53,67,30,58,24,41,65,3,21,9,37,44,14,23,33,74,49,46,16
753997,01-07-19 18:15,80,40,38,73,45,56,64,51,35,10,19,37,12,74,66,59,65,47,57,50
753998,01-07-19 18:20,7,36,68,72,56,78,75,69,41,58,25,50,65,24,62,63,46,30,40,51
753999,01-07-19 18:25,61,72,75,20,31,59,4,39,6,48,60,14,9,62,7,47,56,42,2,19
754000,01-07-19 18:30,34,78,80,42,36,39,11,65,15,20,8,75,71,73,69,47,58,29,43,62
754001,01-07-19 18:35,18,9,74,72,79,45,69,19,34,43,28,77,59,67,22,60,53,35,23,16
754002,01-07-19 18:40,63,13,70,59,38,34,17,61,8,27,23,32,54,47,14,25,5,80,41,55
754003,01-07-19 18:45,78,57,64,74,10,56,35,8,76,72,28,26,40,61,19,3,39,24,75,42
754004,01-07-19 18:50,23,31,14,8,58,47,33,80,75,16,54,69,50,3,56,73,63,19,64,21
754005,01-07-19 18:55,51,14,41,4,58,74,71,17,55,47,8,69,77,53,75,27,5,38,44,33
754006,01-07-19 19:00,10,35,44,5,26,45,1,47,6,48,19,30,32,42,74,78,41,68,52,53
754007,01-07-19 19:05,79,20,26,39,64,33,2,58,49,19,41,13,24,56,72,9,16,53,4,80
754008,01-07-19 19:10,37,62,31,75,35,25,18,71,33,6,39,28,13,16,19,41,24,15,60,40
754009,01-07-19 19:15,14,3,64,34,16,20,58,4,53,67,5,37,43,41,31,76,18,59,9,51
754010,01-07-19 19:20,52,7,70,43,42,5,61,18,33,44,1,40,19,60,55,38,4,31,68,41
754011,01-07-19 19:25,10,37,71,54,55,7,4,76,41,19,50,78,65,24,17,45,6,38,60,23
754012,01-07-19 19:30,59,25,46,78,3,27,23,2,39,36,74,75,9,17,15,70,73,37,34,13
754013,01-07-19 19:35,14,35,74,79,63,12,5,55,70,39,69,47,23,25,9,56,16,43,52,72
754014,01-07-19 19:40,76,36,71,11,61,42,60,2,43,80,46,28,8,6,55,75,33,10,50,52
754015,01-07-19 19:45,29,11,74,24,35,51,8,46,65,32,27,58,20,66,30,45,42,34,53,67
754016,01-07-19 19:50,77,45,41,79,13,34,5,4,32,14,36,31,60,71,3,80,75,30,58,16
754017,01-07-19 19:55,19,56,44,72,24,76,63,3,11,4,25,67,59,46,2,1,42,60,48,73
754018,01-07-19 20:00,7,74,62,24,67,65,17,23,35,28,61,41,6,63,11,38,71,48,45,14
754019,01-07-19 20:05,74,79,64,38,52,44,37,1,70,56,66,24,46,45,15,23,9,19,28,6
754020,01-07-19 20:10,69,28,16,26,11,22,5,35,31,18,62,6,65,67,73,46,54,23,79,43
754021,01-07-19 20:15,58,52,60,10,43,49,14,39,67,2,44,47,25,61,26,18,11,70,57,72
754022,01-07-19 20:20,18,8,7,27,58,61,37,12,19,62,33,56,54,77,59,21,29,57,42,39
754023,01-07-19 20:25,36,80,44,67,38,18,71,51,69,28,61,74,1,79,30,46,73,20,48,45
754024,01-07-19 20:30,20,45,29,40,42,11,27,60,77,56,10,70,30,52,23,39,14,2,13,24
754025,01-07-19 20:35,79,31,40,69,1,55,51,53,9,33,66,67,80,56,15,61,72,42,65,24
754026,01-07-19 20:40,39,11,30,37,4,46,76,48,80,22,36,52,78,62,57,58,3,54,24,7
754027,01-07-19 20:45,55,52,79,57,26,5,13,8,51,59,66,21,58,44,23,1,73,41,17,22
754028,01-07-19 20:50,62,18,28,17,36,69,49,41,67,15,51,73,72,54,68,8,48,1,37,38
754029,01-07-19 20:55,11,44,74,38,69,24,56,8,52,64,65,55,16,76,32,79,41,45,59,49
754030,01-07-19 21:00,24,62,25,65,31,53,59,22,15,3,37,4,38,70,79,30,40,7,20,11
754031,01-07-19 21:05,3,63,78,66,57,47,40,9,11,12,80,13,30,27,64,72,61,33,46,67
754032,01-07-19 21:10,16,44,25,10,43,68,35,22,48,49,60,51,7,33,8,59,23,11,74,76
754033,01-07-19 21:15,65,9,60,57,73,20,4,19,17,16,33,10,80,18,25,34,22,15,53,75
754034,01-07-19 21:20,24,74,39,21,43,51,3,55,32,15,42,68,49,6,67,78,47,14,70,37
754035,01-07-19 21:25,61,42,80,21,41,72,46,6,57,13,8,70,66,53,76,49,34,18,79,31
754036,01-07-19 21:30,66,30,28,6,61,21,29,26,65,50,55,16,18,47,15,56,62,67,78,17
754037,01-07-19 21:35,79,52,12,77,33,24,15,2,17,64,57,10,78,7,71,19,4,69,80,73
754038,01-07-19 21:40,75,12,36,35,27,74,64,72,57,5,42,69,30,14,24,37,76,58,13,71
754039,01-07-19 21:45,70,79,53,77,78,49,25,46,2,63,28,52,67,64,47,23,36,57,59,15
754040,01-07-19 21:50,48,16,70,72,27,62,66,47,2,33,52,21,30,77,13,26,29,10,3,74
754041,01-07-19 21:55,3,25,68,71,42,31,70,80,14,73,52,37,50,20,57,56,74,26,2,67
754042,01-07-19 22:00,50,1,53,10,43,4,17,12,73,28,62,18,78,67,71,64,55,74,15,48
754043,01-07-19 22:05,21,8,16,57,28,45,47,52,17,24,9,56,77,25,15,4,43,7,71,62
754044,01-07-19 22:10,13,47,7,65,1,2,33,54,32,5,17,14,46,36,38,57,55,75,35,58
754045,01-07-19 22:15,58,31,67,41,47,16,73,14,43,72,70,40,44,18,32,36,54,26,30,79
754046,01-07-19 22:20,9,26,64,32,30,40,48,11,42,52,5,22,2,35,69,17,29,7,21,13
754047,01-07-19 22:25,50,13,20,55,11,17,74,3,26,49,61,48,36,77,12,51,60,27,45,44
754048,01-07-19 22:30,13,7,15,11,3,47,46,31,14,29,39,75,74,12,50,76,27,43,25,41
754049,01-07-19 22:35,22,52,3,36,11,49,45,47,17,75,18,77,39,35,74,40,7,25,26,63
754050,01-07-19 22:40,47,37,1,69,50,73,33,68,45,35,41,2,7,24,6,55,67,59,13,23
754051,01-07-19 22:45,17,26,79,75,80,27,28,25,66,33,41,47,46,12,13,18,51,68,73,76
754052,01-07-19 22:50,54,80,61,45,75,27,7,6,28,39,72,48,68,9,43,36,79,51,14,78
754053,01-07-19 22:55,35,26,38,32,27,25,6,69,4,24,57,7,62,17,52,75,22,45,29,1
754054,01-07-19 23:00,11,27,51,74,35,8,71,19,73,38,49,28,15,53,26,5,25,56,54,33
754055,01-07-19 23:05,73,64,29,13,43,38,58,41,20,70,49,39,36,23,55,31,48,2,74,67
754056,01-07-19 23:10,2,77,14,45,4,15,28,33,68,7,37,51,41,20,26,34,49,74,27,73
754057,01-07-19 23:15,46,63,61,34,33,25,72,67,28,42,21,18,56,43,8,16,45,19,7,78
754058,01-07-19 23:20,52,26,73,14,67,61,66,55,58,74,60,63,27,18,57,36,41,39,35,75
754059,01-07-19 23:25,53,45,26,57,22,35,3,46,43,42,58,37,5,54,29,24,77,40,28,21
754060,01-07-19 23:30,5,11,22,57,61,49,48,43,17,42,74,29,26,1,3,10,54,50,76,24
754061,01-07-19 23:35,49,60,22,25,19,7,24,36,65,5,67,55,68,76,58,17,64,20,63,52
754062,01-07-19 23:40,40,73,72,34,69,79,22,9,42,65,66,5,46,19,6,31,58,7,52,11
754063,01-07-19 23:45,46,35,25,3,79,30,55,27,45,60,37,66,48,38,16,72,47,29,26,13
754064,01-07-19 23:50,47,1,35,57,31,74,29,27,18,50,77,38,3,78,72,70,48,54,14,21
754065,01-07-19 23:55,58,64,8,46,25,21,48,78,12,76,70,3,2,71,51,54,30,15,59,29
754066,02-07-19 9:00,22,36,14,51,55,6,34,27,50,38,24,18,68,63,32,62,46,17,26,74
754067,02-07-19 9:05,17,57,38,52,44,23,13,72,50,43,71,40,58,77,26,51,67,54,14,49
754068,02-07-19 9:10,73,63,20,43,44,42,34,58,53,76,40,7,39,70,59,26,4,46,8,55
754069,02-07-19 9:15,8,64,19,58,48,56,67,74,78,51,65,39,71,32,3,33,37,63,47,53
754070,02-07-19 9:20,36,47,49,69,26,30,32,39,44,41,21,56,70,57,74,61,79,14,75,20
754071,02-07-19 9:25,24,42,1,78,74,18,7,15,36,29,13,31,73,62,60,22,6,19,32,64
754072,02-07-19 9:30,41,35,66,47,27,63,45,18,51,43,55,69,77,42,32,3,10,72,21,16
754073,02-07-19 9:35,21,66,42,43,32,53,3,58,4,65,28,7,13,29,16,8,49,77,73,56
754074,02-07-19 9:40,12,38,16,1,20,43,60,26,77,72,19,4,49,32,27,70,8,50,51,17
754075,02-07-19 9:45,52,34,70,28,39,6,36,71,2,50,15,5,18,21,57,54,51,7,35,17
754076,02-07-19 9:50,43,54,30,46,23,51,27,62,36,13,11,14,66,15,53,45,6,73,50,25
754077,02-07-19 9:55,9,44,10,57,59,71,52,65,17,5,49,61,18,11,77,16,4,39,64,34
754078,02-07-19 10:00,7,41,20,12,67,52,17,60,19,38,51,65,62,77,63,48,29,47,69,70
754079,02-07-19 10:05,1,26,68,79,28,27,21,65,62,51,16,45,54,6,48,44,43,5,61,71
754080,02-07-19 10:10,79,75,50,21,22,73,16,80,37,36,43,56,14,54,12,1,18,76,64,26
754081,02-07-19 10:15,37,66,25,76,18,57,41,62,49,22,14,54,23,21,7,8,19,43,20,16
754082,02-07-19 10:20,74,26,22,58,51,53,35,60,23,2,46,43,18,76,75,68,42,14,21,34
754083,02-07-19 10:25,28,30,31,76,34,49,68,11,8,10,19,38,58,54,7,26,74,59,2,46
754084,02-07-19 10:30,76,41,32,16,21,20,78,50,70,12,26,34,7,37,2,31,69,67,38,14
754085,02-07-19 10:35,79,75,52,72,73,66,64,28,18,67,54,40,42,2,21,6,39,22,47,30
754086,02-07-19 10:40,38,9,18,23,44,15,14,53,3,64,43,45,59,48,65,1,80,54,49,74
754087,02-07-19 10:45,67,75,43,54,8,57,28,42,9,33,45,12,41,1,34,35,25,66,7,10
754088,02-07-19 10:50,52,56,25,75,22,36,10,59,33,16,28,63,76,37,35,60,8,61,80,5
754089,02-07-19 10:55,10,9,32,36,62,75,57,31,55,78,20,35,51,13,54,27,56,34,66,50
754090,02-07-19 11:00,71,16,76,35,28,17,41,6,32,72,64,56,36,38,31,77,78,23,11,40
754091,02-07-19 11:05,53,47,67,58,61,13,48,68,32,3,49,24,25,39,41,14,50,80,2,78
754092,02-07-19 11:10,28,49,10,70,68,15,44,76,46,64,60,26,31,2,62,54,56,5,40,58
754093,02-07-19 11:15,4,52,16,46,33,48,7,2,67,74,5,17,14,12,49,40,41,58,43,8
754094,02-07-19 11:20,25,15,22,30,54,52,39,5,9,75,18,3,23,27,76,40,14,50,17,74
754095,02-07-19 11:25,8,1,41,39,28,50,31,38,78,65,58,13,37,17,76,21,32,56,35,48
754096,02-07-19 11:30,32,63,4,80,60,33,70,72,25,52,59,54,68,2,40,65,8,44,9,64
754097,02-07-19 11:35,67,20,21,4,59,28,54,46,9,31,19,33,38,68,55,22,15,78,52,3
754098,02-07-19 11:40,62,67,52,48,68,55,76,19,45,46,53,24,2,11,6,25,38,35,1,70
754099,02-07-19 11:45,70,55,65,54,45,47,28,8,52,61,34,15,31,32,27,80,30,36,21,33
754100,02-07-19 11:50,20,27,40,71,14,70,1,36,49,73,42,57,30,78,50,79,8,39,10,44
754101,02-07-19 11:55,73,69,13,76,9,10,59,63,56,55,12,49,70,57,34,6,39,33,44,18
754102,02-07-19 12:00,54,39,59,21,2,38,9,30,37,4,70,18,55,50,49,48,44,42,68,45
754103,02-07-19 12:05,31,71,39,8,12,4,61,78,42,53,67,26,50,2,9,35,40,14,30,3
754104,02-07-19 12:10,50,43,8,13,69,37,17,62,18,39,30,23,22,27,10,70,54,11,64,40
754105,02-07-19 12:15,8,14,76,11,9,27,42,43,73,68,79,44,31,36,4,64,70,66,24,23
754106,02-07-19 12:20,12,76,57,19,20,15,40,48,27,45,71,49,39,52,30,70,69,6,21,72
754107,02-07-19 12:25,32,5,73,16,60,8,51,25,13,20,77,65,70,38,68,7,37,23,58,41
754108,02-07-19 12:30,10,26,75,17,23,44,49,45,4,41,54,68,71,53,80,70,65,63,79,66
754109,02-07-19 12:35,31,5,6,28,63,36,15,9,57,51,72,3,59,75,8,2,49,70,76,1
754110,02-07-19 12:40,37,20,16,55,53,34,74,75,22,61,67,71,73,12,78,48,13,18,72,24
754111,02-07-19 12:45,49,64,36,18,1,17,77,73,50,15,21,44,67,57,19,63,41,58,66,56
754112,02-07-19 12:50,74,11,63,35,75,21,34,9,31,5,38,49,1,39,77,28,15,18,27,52
754113,02-07-19 12:55,30,24,19,39,69,6,33,46,60,79,51,68,26,75,76,23,45,52,11,32
754114,02-07-19 13:00,11,10,17,68,20,13,31,12,64,29,9,58,41,40,63,73,61,57,52,50
754115,02-07-19 13:05,20,9,43,59,28,2,24,35,46,47,56,10,69,31,65,58,12,26,75,37
754116,02-07-19 13:10,28,8,54,13,36,29,76,40,47,4,39,74,27,72,37,31,73,20,46,26
754117,02-07-19 13:15,11,17,7,63,12,71,36,5,70,39,51,37,27,23,56,44,9,50,13,72
754118,02-07-19 13:20,15,6,22,8,50,25,11,4,7,54,31,16,74,72,36,80,46,9,30,34
754119,02-07-19 13:25,8,60,77,14,73,65,7,71,62,25,24,67,68,29,6,56,40,55,57,76
754120,02-07-19 13:30,68,64,50,36,58,45,35,76,60,6,54,78,7,27,51,77,46,74,8,69
754121,02-07-19 13:35,57,4,70,26,40,46,45,2,47,31,9,80,10,29,17,32,51,11,71,19
754122,02-07-19 13:40,24,12,50,54,2,72,57,56,79,10,33,60,17,25,3,66,78,65,5,77
754123,02-07-19 13:45,11,2,77,74,17,32,15,20,7,48,59,63,66,56,37,55,27,12,49,75
754124,02-07-19 13:50,12,20,36,7,75,46,52,54,51,30,56,71,80,15,53,62,38,60,78,16
754125,02-07-19 13:55,17,18,33,44,11,25,58,63,20,29,37,80,23,54,75,65,3,47,70,2
754126,02-07-19 14:00,80,19,11,55,16,29,13,53,79,37,5,57,52,54,21,71,66,14,76,64
754127,02-07-19 14:05,30,4,34,17,46,47,2,19,38,13,41,8,74,27,61,9,52,29,51,59
754128,02-07-19 14:10,54,76,49,7,10,45,18,73,64,69,15,52,16,74,5,1,40,26,79,22
754129,02-07-19 14:15,38,51,48,59,71,7,11,27,30,73,58,2,42,20,12,24,64,21,26,37
754130,02-07-19 14:20,19,60,56,1,3,68,14,9,43,72,66,32,33,41,77,78,53,16,22,38
754131,02-07-19 14:25,7,14,54,44,42,62,27,43,1,26,64,10,69,59,80,32,35,53,50,31
754132,02-07-19 14:30,56,8,67,40,46,15,58,59,2,27,60,36,55,3,63,71,80,24,22,33
754133,02-07-19 14:35,16,50,23,26,77,5,59,43,8,68,15,28,80,2,29,48,70,30,44,41
754134,02-07-19 14:40,68,69,59,64,47,26,3,16,61,60,11,10,38,40,5,36,70,75,20,6
754135,02-07-19 14:45,42,59,66,40,26,37,77,74,70,51,79,64,58,76,60,33,35,23,18,73
754136,02-07-19 14:50,64,56,39,55,4,46,79,73,6,34,74,28,23,62,13,51,15,50,65,33
754137,02-07-19 14:55,43,67,42,57,77,69,49,78,59,41,79,71,68,37,17,35,33,9,58,52
754138,02-07-19 15:00,1,44,60,10,64,69,80,39,71,46,43,77,45,61,68,23,59,16,54,58
754139,02-07-19 15:05,77,43,74,20,16,61,47,53,1,5,6,71,67,23,26,13,56,3,60,22
754140,02-07-19 15:10,22,39,80,73,27,26,47,54,15,62,77,63,70,25,52,65,79,68,24,14
754141,02-07-19 15:15,52,28,72,54,35,4,69,22,17,61,48,74,14,70,34,9,7,23,26,50
754142,02-07-19 15:20,31,74,66,52,29,63,44,49,19,16,15,1,65,10,38,35,78,45,72,47
754143,02-07-19 15:25,58,44,18,28,54,70,72,34,49,23,59,17,52,71,33,56,16,29,5,1
754144,02-07-19 15:30,58,48,33,10,3,62,4,28,8,66,35,40,29,15,80,23,43,76,42,30
754145,02-07-19 15:35,14,6,76,16,57,47,67,65,21,59,36,8,32,30,63,66,2,13,27,62
754146,02-07-19 15:40,19,48,12,18,77,76,8,20,74,17,75,66,29,51,23,30,43,42,65,50
754147,02-07-19 15:45,80,31,26,36,50,13,54,43,39,74,1,37,51,3,73,76,64,45,58,56
